"composition","pollen"
"Ash","ASH"
"Basswood","OTHER.HARDWOOD"
"Beech","BEECH"
"Birch","BIRCH"
"Cherry","OTHER.HARDWOOD"
"Dogwood","OTHER.HARDWOOD"
"Elm","ELM"
"Fir","OTHER.CONIFER"
"Hemlock","HEMLOCK"
"Hickory","OTHER.HARDWOOD"
"Ironwood","OTHER.HARDWOOD"
"Maple","MAPLE"
"Oak","OAK"
"Pine","PINE"
"Spruce","SPRUCE"
"Tamarack","TAMARACK"
"Walnut","OTHER.HARDWOOD"
"Other.hardwood","OTHER.HARDWOOD"
"Black.gum.sweet.gum","OTHER.HARDWOOD"
"Cedar.juniper","OTHER.CONIFER"
"Poplar.tulip.poplar","OTHER.HARDWOOD"
